[[' ', ' ', ' '], [' ', ' ', ' '], [' ', ' ', ' ']]:0.5
[['X', ' ', ' '], [' ', ' ', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', ' '], [' ', ' ', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], [' ', ' ', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', ' ', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'X', ' '], [' ', ' ', ' ']]:0.02449409237936967
[['X', 'O', 'X'], ['O', 'X', 'O'], [' ', ' ', ' ']]:0.021195579137608098
[['X', 'O', 'X'], ['O', 'X', 'O'], ['X', ' ', ' ']]:0.0
[['X', 'O', 'X'], ['O', 'X', ' '], ['O', ' ', ' ']]:0.021195579137608098
[['X', 'O', 'X'], ['O', 'X', 'X'], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'X', 'X'], ['O', 'O', ' ']]:0.10294556604732451
[['X', 'O', 'X'], ['O', 'X', 'X'], ['O', 'O', 'X']]:0.0
[['X', 'O', 'X'], ['O', 'X', 'X'], ['O', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'X', 'X'], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'X', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'X', 'O'], ['O', 'X', ' ']]:0.215233605
[['X', 'O', 'X'], ['O', 'X', 'O'], ['O', 'X', 'X']]:0.0
[['X', 'O', 'X'], ['O', 'X', ' '], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'X', ' '], ['O', ' ', 'X']]:0.0
[['X', 'O', 'X'], ['O', 'X', ' '], [' ', 'O', ' ']]:0.021195579137608098
[['X', 'O', 'X'], ['O', 'X', 'X'], [' ', 'O', ' ']]:0.20260054289824203
[['X', 'O', 'X'], ['O', 'X', 'X'], [' ', 'O', 'O']]:0.114383962274805
[['X', 'O', 'X'], ['O', 'X', 'X'], ['X', 'O', 'O']]:0.0
[['X', 'O', 'X'], ['O', 'X', ' '], ['X', 'O', ' ']]:0.0
[['X', 'O', 'X'], ['O', 'X', ' '], [' ', ' ', 'O']]:0.021195579137608098
[['X', 'O', 'X'], ['O', 'X', 'X'], [' ', ' ', 'O']]:0.12390433721161534
[['X', 'O', 'X'], ['O', 'X', ' '], ['X', ' ', 'O']]:0.0
[['X', 'O', 'X'], ['O', ' ', 'X'], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', 'X'], [' ', ' ', ' ']]:0.45
[['X', 'O', 'X'], ['O', 'O', 'X'], ['X', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', 'X'], ['X', 'O', ' ']]:1.0
[['X', 'O', 'X'], ['O', 'O', 'X'], [' ', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', 'X'], ['O', 'X', ' ']]:0.45
[['X', 'O', 'X'], ['O', 'O', 'X'], ['O', 'X', 'X']]:0.0
[['X', 'O', 'X'], ['O', 'O', 'X'], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'O', 'X'], ['X', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'O', 'X'], [' ', ' ', 'X']]:0.0
[['X', 'O', 'X'], ['O', ' ', 'X'], ['O', ' ', ' ']]:0.45
[['X', 'O', 'X'], ['O', ' ', 'X'], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'X'], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'X'], ['O', ' ', 'X']]:0.0
[['X', 'O', 'X'], ['O', ' ', 'X'], [' ', 'O', ' ']]:0.45
[['X', 'O', 'X'], ['O', ' ', 'X'], ['X', 'O', ' ']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'X'], ['X', 'O', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'X'], [' ', 'O', 'X']]:0.0
[['X', 'O', 'X'], ['O', ' ', 'X'], [' ', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'X'], ['X', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'O', 'X'], ['X', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'X'], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', ' '], ['X', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', ' '], ['X', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', ' '], ['X', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', 'O'], ['X', 'X', ' ']]:1.0
[['X', 'O', 'X'], ['O', 'O', ' '], ['X', ' ', 'X']]:0.9999999998893021
[['X', 'O', 'X'], ['O', 'O', 'O'], ['X', ' ', 'X']]:1.0
[['X', 'O', 'X'], ['O', ' ', 'O'], ['X', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'O'], ['X', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'O'], ['X', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'X', 'O'], ['X', 'X', 'O']]:0.0
[['X', 'O', 'X'], ['O', ' ', 'O'], ['X', ' ', 'X']]:0.5
[['X', 'O', 'X'], ['O', ' ', 'O'], ['X', 'O', 'X']]:0.5
[['X', 'O', 'X'], ['O', 'X', 'O'], ['X', 'O', 'X']]:0.0
[['X', 'O', 'X'], ['O', ' ', ' '], ['X', 'O', ' ']]:0.5
[['X', 'O', 'X'], ['O', ' ', ' '], ['X', 'O', 'X']]:0.5
[['X', 'O', 'X'], ['O', 'O', ' '], ['X', 'O', 'X']]:1.0
[['X', 'O', 'X'], ['O', ' ', ' '], ['X', ' ', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', ' '], ['X', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'O', ' '], ['X', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', ' '], [' ', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', ' '], [' ', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'O', ' '], [' ', 'X', 'X']]:0.24979794566391308
[['X', 'O', 'X'], ['O', 'O', 'O'], [' ', 'X', 'X']]:1.0
[['X', 'O', 'X'], ['O', ' ', 'O'], [' ', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', 'X', 'O'], [' ', 'X', ' ']]:0.35143648895267554
[['X', 'O', 'X'], ['O', 'X', 'O'], [' ', 'X', 'O']]:0.215233605
[['X', 'O', 'X'], ['O', ' ', 'O'], [' ', 'X', 'X']]:0.34790868745255854
[['X', 'O', 'X'], ['O', ' ', 'O'], ['O', 'X', 'X']]:0.2657205
[['X', 'O', 'X'], ['O', ' ', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['O', ' ', ' '], ['O', 'X', 'X']]:0.39022623175950005
[['X', 'O', 'X'], ['O', 'O', ' '], ['O', 'X', 'X']]:0.23914845
[['X', 'O', 'X'], ['O', ' ', ' '], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', 'X', ' '], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['O', ' ', ' '], [' ', ' ', 'X']]:0.02979535492877947
[['X', 'O', 'X'], ['O', 'O', ' '], [' ', ' ', 'X']]:0.026167381651368022
[['X', 'O', 'X'], ['O', ' ', 'O'], [' ', ' ', 'X']]:0.026167381651368022
[['X', 'O', 'X'], ['O', 'X', 'O'], [' ', ' ', 'X']]:0.0
[['X', 'O', 'X'], ['O', ' ', ' '], ['O', ' ', 'X']]:0.026167381651368022
[['X', 'O', 'X'], ['O', ' ', ' '], [' ', 'O', 'X']]:0.026167381651368022
[['X', 'O', 'X'], ['O', 'X', ' '], [' ', 'O', 'X']]:0.0
[['X', 'O', 'X'], [' ', 'O', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', ' '], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], ['X', ' ', ' ']]:0.0
[['X', 'O', 'X'], ['X', 'O', ' '], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'X'], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'X'], ['O', 'O', ' ']]:1.0
[['X', 'O', 'X'], ['X', 'O', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], ['O', 'X', 'X']]:0.5
[['X', 'O', 'X'], ['X', 'O', ' '], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'X'], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', ' '], ['O', ' ', 'X']]:0.9999998568969619
[['X', 'O', 'X'], ['X', 'O', 'O'], ['O', ' ', 'X']]:0.5
[['X', 'O', 'X'], ['X', 'O', ' '], ['O', 'O', 'X']]:1.0
[['X', 'O', 'X'], ['X', 'O', ' '], [' ', 'O', ' ']]:1.0
[['X', 'O', 'X'], [' ', 'O', 'X'], [' ', ' ', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], ['O', ' ', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], ['O', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], ['O', ' ', 'X']]:0.0
[['X', 'O', 'X'], [' ', 'O', 'X'], [' ', 'O', ' ']]:1.0
[['X', 'O', 'X'], [' ', 'O', ' '], ['X', ' ', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'O'], ['X', ' ', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'O'], ['X', 'X', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'O'], ['X', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], ['X', 'X', 'O']]:0.0
[['X', 'O', 'X'], [' ', 'O', 'O'], ['X', ' ', 'X']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'O'], ['X', 'O', 'X']]:1.0
[['X', 'O', 'X'], [' ', 'O', ' '], ['X', 'O', ' ']]:1.0
[['X', 'O', 'X'], [' ', 'O', ' '], [' ', 'X', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'O'], [' ', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], [' ', 'X', ' ']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'O'], [' ', 'X', 'X']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'O'], ['O', 'X', 'X']]:0.5
[['X', 'O', 'X'], [' ', 'O', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', 'X'], [' ', 'O', ' '], ['O', 'X', 'X']]:0.5
[['X', 'O', 'X'], [' ', 'O', ' '], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], ['X', 'O', ' '], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', 'X'], [' ', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', ' '], ['X', 'X', 'O']]:0.5
[['X', 'O', 'X'], [' ', 'O', ' '], [' ', ' ', 'X']]:0.9999999999997544
[['X', 'O', 'X'], [' ', 'O', 'O'], [' ', ' ', 'X']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], [' ', ' ', 'X']]:0.5
[['X', 'O', 'X'], ['X', 'O', 'O'], [' ', 'O', 'X']]:1.0
